Time,Timestamp,Elapsed Time,Heat Release Rate,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-110,2018-12-04 10:02:09,00:00:11,0.0,10.1,8.41,16.03,14.29,13.09,11.53,11.0,10.11,10.42,15.5,13.94,12.79,11.66,10.81,10.38,10.08,9.57,16.18,14.77,13.6,13.14,11.86,10.81,10.66,16.22,14.58,13.37,11.77,11.94,11.93,11.07,9.2,12.51,11.34,9.73,7.36,7.21,12.7,10.06,0.31,0.37,-0.31,0.22,0.22,0.22,0.27,0.0,0.07,0.03,-1.63,-1.0,-0.1,2.23,-0.14,3.38,20.96,20.93,20.95,20.97,20.96,20.94,20.95,20.94
-109,2018-12-04 10:02:10,00:00:12,0.0,9.9,10.27,16.05,14.31,12.93,11.4,10.84,10.14,10.33,15.45,13.97,12.82,11.64,10.79,10.41,10.22,9.52,15.63,14.46,13.24,12.71,10.7,8.77,7.89,13.62,12.05,11.07,9.97,9.83,9.7,8.92,7.24,12.32,11.11,9.27,6.47,6.75,12.69,11.43,0.35,-0.37,0.22,-0.16,-0.35,-0.46,-0.18,0.09,0.1,0.12,-1.63,-2.48,0.7,0.32,-0.14,1.73,20.96,20.96,20.95,20.9,20.94,20.97,20.95,20.94
-108,2018-12-04 10:02:11,00:00:13,0.0,10.78,9.28,15.98,14.24,12.93,11.33,10.91,9.99,10.33,15.6,14.0,12.78,11.49,10.64,10.37,10.03,9.45,17.38,15.87,14.88,14.39,12.99,12.06,11.91,17.16,15.49,13.93,12.57,12.2,12.07,10.9,9.65,12.55,11.41,9.84,7.54,7.4,13.22,9.78,0.27,-0.11,0.37,-0.19,0.36,-0.34,-0.23,-0.07,0.02,-0.02,-1.63,1.95,-1.71,-1.59,-0.14,-3.21,20.94,20.96,20.94,20.93,20.95,20.95,20.95,20.94
-107,2018-12-04 10:02:12,00:00:14,0.0,10.77,9.43,15.91,14.24,12.9,11.41,10.92,10.15,10.41,15.53,14.01,12.71,11.5,10.57,10.37,10.07,9.38,17.43,16.1,15.0,14.5,13.08,12.07,11.95,16.59,15.15,13.71,12.19,12.01,11.77,10.72,9.5,12.32,11.49,9.96,7.47,7.33,12.54,9.67,0.23,-0.45,0.32,0.26,0.16,-0.15,-0.34,-0.19,-0.13,-0.05,-1.63,-1.0,-0.1,-1.59,-1.1,0.08,20.95,20.96,20.95,20.91,20.95,20.94,20.95,20.93
-106,2018-12-04 10:02:13,00:00:15,0.0,10.63,9.2,15.94,14.31,12.89,11.59,11.06,10.07,10.41,15.57,14.12,12.67,11.41,10.53,10.45,9.95,9.37,17.42,16.02,14.88,14.16,12.42,11.45,11.34,15.94,14.72,13.24,12.03,11.85,11.69,10.44,9.35,12.48,11.53,9.84,7.43,7.29,13.42,9.6,0.29,-0.37,0.3,0.12,-0.32,0.09,-0.14,0.08,0.08,0.07,1.6,1.95,0.7,0.32,0.82,0.08,20.95,20.96,20.95,20.89,20.95,20.95,20.95,20.96
-105,2018-12-04 10:02:14,00:00:16,0.0,9.66,7.82,16.05,14.31,12.97,11.44,11.06,10.03,10.41,15.57,13.97,12.7,11.57,10.49,10.45,9.88,9.37,16.85,15.33,14.16,13.43,12.0,11.07,11.07,15.71,14.57,13.28,11.95,11.89,11.61,10.44,9.35,12.43,11.45,9.72,7.39,7.28,12.96,9.51,0.32,-0.25,-0.33,0.16,0.26,0.17,0.2,-0.01,0.02,-0.05,1.6,0.48,-0.9,2.23,0.82,-1.56,20.96,20.95,20.95,20.93,20.94,20.94,20.95,20.93
-104,2018-12-04 10:02:15,00:00:17,0.0,9.05,7.63,15.91,14.28,12.97,11.45,11.15,10.11,10.3,15.61,13.97,12.63,11.54,10.61,10.53,10.0,9.45,16.4,14.88,13.9,13.36,11.74,10.92,10.92,15.41,14.5,13.29,12.0,11.78,11.46,10.3,8.97,12.5,11.52,9.76,7.31,7.28,12.95,9.47,0.34,-0.33,0.38,0.33,-0.07,0.14,-0.14,0.09,0.17,0.06,1.6,0.48,-0.9,-1.59,-1.1,-1.56,20.95,20.96,20.95,20.92,20.95,20.97,20.94,20.96
-103,2018-12-04 10:02:16,00:00:18,0.0,8.97,7.32,15.93,14.34,13.0,11.51,11.17,10.06,10.29,15.56,13.92,12.66,11.45,10.56,10.59,9.83,9.48,16.24,14.98,13.85,13.24,11.61,11.02,10.91,15.25,14.38,13.27,11.83,11.73,11.6,10.21,8.88,12.54,11.52,9.8,7.69,7.2,12.84,9.51,0.35,0.29,-0.37,0.24,-0.12,0.14,0.02,0.02,0.07,0.04,-0.01,-1.0,-0.1,-1.59,-0.14,0.08,20.94,20.95,20.95,20.98,20.93,20.95,20.95,20.93
-102,2018-12-04 10:02:17,00:00:19,0.0,9.5,7.81,15.92,14.37,12.99,11.46,11.16,10.01,10.24,15.59,13.91,12.69,11.4,10.66,10.5,9.82,9.55,16.07,14.74,13.84,13.03,11.53,11.09,11.01,15.09,14.06,12.96,11.79,11.76,11.67,10.31,9.25,12.64,11.51,9.78,7.22,7.23,12.86,9.77,0.31,-0.03,0.37,-0.13,0.28,0.09,0.2,0.13,0.1,0.05,-0.01,0.48,-0.1,0.32,-2.06,0.08,20.95,20.95,20.95,20.93,20.94,20.96,20.94,20.94
-101,2018-12-04 10:02:18,00:00:20,0.0,10.35,8.2,16.05,14.38,12.92,11.47,11.1,10.06,10.13,15.56,13.92,12.7,11.37,10.71,10.63,9.98,9.44,16.12,14.56,13.47,12.66,11.35,10.87,10.91,15.21,14.26,13.27,11.8,11.77,11.45,10.29,9.11,12.63,11.46,9.73,7.24,7.18,12.85,9.94,0.2,0.27,-0.34,0.22,-0.19,0.17,0.14,0.12,0.02,0.11,-0.01,-1.0,-0.1,0.32,0.82,0.08,20.96,20.94,20.96,20.97,20.94,20.94,20.95,20.93
-100,2018-12-04 10:02:19,00:00:21,0.0,10.42,8.2,15.97,14.31,13.04,11.44,11.06,10.02,10.25,15.64,14.0,12.66,11.49,10.79,10.52,10.14,9.44,16.08,14.68,13.58,13.01,11.5,11.1,10.8,15.06,13.99,13.08,11.83,11.69,11.57,10.21,9.19,12.58,11.45,9.6,7.19,7.13,12.99,10.92,0.25,-0.44,0.37,0.33,-0.19,-0.04,-0.1,0.05,0.04,0.03,-1.63,0.48,-1.71,0.32,-0.14,-3.21,20.94,20.94,20.95,20.92,20.95,20.96,20.95,20.95
-99,2018-12-04 10:02:20,00:00:22,0.0,10.61,8.16,16.11,14.29,13.06,11.46,11.2,10.04,10.19,15.89,13.71,12.64,11.51,10.77,10.5,9.93,9.46,16.1,14.59,13.6,12.95,11.44,11.16,10.66,15.23,13.94,12.95,11.78,11.75,11.43,10.04,8.98,12.55,11.37,9.57,7.08,7.13,13.26,11.43,0.27,0.41,-0.05,0.28,0.07,0.17,0.27,-0.04,-0.05,-0.02,-1.63,-1.0,-0.9,0.32,-0.14,0.08,20.94,20.94,20.96,20.98,20.94,20.96,20.95,20.96
-98,2018-12-04 10:02:21,00:00:23,0.0,10.4,8.02,15.93,14.34,13.0,11.55,11.1,10.06,10.33,15.64,13.81,12.85,11.56,10.75,10.4,10.1,9.44,15.93,14.53,13.54,12.97,11.46,11.06,10.68,15.4,13.96,13.16,11.87,11.73,11.45,10.13,8.92,12.61,11.44,9.52,6.96,6.97,13.56,11.68,0.25,0.48,0.49,0.3,0.16,0.14,0.23,-0.16,-0.09,-0.12,-0.01,0.48,-0.9,-3.5,-1.1,0.08,20.96,20.96,20.95,20.99,20.94,20.93,20.95,20.93
-97,2018-12-04 10:02:22,00:00:24,0.0,10.69,8.31,15.89,14.26,12.99,11.58,11.13,10.09,10.24,15.59,13.8,12.84,11.59,10.9,10.47,10.13,9.51,15.85,14.56,13.54,12.89,11.49,11.06,10.71,15.28,13.91,12.96,11.87,11.8,11.45,10.17,8.95,12.52,11.39,9.4,6.83,6.99,13.24,11.25,0.2,0.29,-0.18,0.39,-0.07,0.39,0.37,0.04,0.04,0.04,-0.01,-1.0,2.3,-1.59,-0.14,0.08,20.95,20.95,20.94,20.93,20.94,20.95,20.95,20.95
-96,2018-12-04 10:02:23,00:00:25,0.0,10.8,8.08,16.01,14.38,13.0,11.51,11.14,9.95,10.06,15.75,13.96,12.85,11.68,10.9,10.52,10.06,9.52,15.93,14.53,13.47,12.85,11.46,11.06,10.76,15.29,13.84,13.05,11.61,11.5,11.22,9.98,8.77,12.5,11.29,9.22,6.81,6.85,11.72,9.62,-0.04,0.18,0.41,0.36,0.22,0.36,0.43,0.06,0.01,0.04,1.6,-1.0,0.7,-1.59,0.82,-1.56,20.95,20.96,20.96,20.97,20.94,20.95,20.95,20.94
-95,2018-12-04 10:02:24,00:00:26,0.0,10.8,8.08,15.92,14.33,12.95,11.5,11.05,9.97,10.16,15.7,13.95,13.03,11.67,10.93,10.47,10.16,9.43,15.77,14.36,13.23,12.65,11.26,10.94,10.44,15.09,13.53,12.61,11.33,11.19,10.71,9.43,8.3,12.33,11.24,8.98,6.57,6.96,11.6,8.46,-0.26,0.27,0.46,0.41,0.28,0.22,0.46,-0.01,-0.02,-0.0,-0.01,-1.0,-0.1,-1.59,-1.1,3.38,20.94,20.96,20.96,20.9,20.95,20.95,20.96,20.95
-94,2018-12-04 10:02:25,00:00:27,0.0,10.83,8.11,15.81,14.26,12.91,11.39,10.97,9.97,10.05,15.7,13.95,13.22,11.86,10.93,10.73,10.2,9.39,15.08,13.6,12.5,11.89,10.34,10.17,9.64,14.17,12.65,11.77,10.41,10.23,9.76,8.59,7.49,12.31,11.17,9.03,6.69,7.12,11.88,7.25,-0.11,-0.23,-0.05,0.16,-0.22,0.46,0.18,0.0,-0.02,-0.05,-3.24,-2.48,-0.1,0.32,-0.14,-1.56,20.95,20.96,20.95,20.96,20.93,20.95,20.95,20.94
-93,2018-12-04 10:02:26,00:00:28,0.0,10.98,8.18,15.85,14.3,12.87,11.39,10.93,9.97,10.09,15.89,14.14,13.3,12.01,11.08,10.66,10.2,9.36,14.09,12.72,11.58,10.97,9.81,9.67,9.37,14.36,12.92,12.0,10.79,10.77,10.6,9.51,8.56,12.45,11.21,9.55,6.88,7.11,11.72,6.86,0.14,-0.15,0.09,0.4,0.31,0.38,0.47,-0.1,-0.07,-0.08,1.6,0.48,-0.9,-1.59,-2.06,1.73,20.96,20.94,20.96,20.93,20.95,20.95,20.95,20.95
-92,2018-12-04 10:02:27,00:00:29,0.0,11.48,8.76,15.74,14.19,12.84,11.35,11.05,9.9,9.94,15.9,14.15,13.38,12.17,11.09,10.7,10.28,9.51,14.59,13.38,12.28,11.78,10.46,10.22,9.8,14.9,13.38,12.54,11.33,11.61,11.45,10.55,9.56,12.71,11.51,9.74,7.02,7.22,11.79,7.39,-0.23,-0.18,0.43,0.38,-0.24,0.52,0.49,-0.01,-0.06,-0.08,-1.63,0.48,-0.1,-1.59,-0.14,-1.56,20.94,20.96,20.96,20.95,20.95,20.96,20.95,20.94
-91,2018-12-04 10:02:28,00:00:30,0.0,10.86,7.95,15.73,14.3,12.84,11.46,10.93,9.97,10.01,15.74,13.95,13.14,11.93,10.89,10.62,10.28,9.43,15.23,13.75,12.65,11.85,10.42,10.13,9.68,14.78,12.88,12.0,10.56,10.31,9.87,8.9,7.45,12.38,11.13,9.21,6.65,7.04,11.91,7.28,0.14,0.25,-0.15,0.37,0.33,0.41,0.42,0.04,-0.07,-0.02,1.6,1.95,0.7,0.32,-1.1,0.08,20.95,20.95,20.94,20.94,20.93,20.95,20.94,20.94
-90,2018-12-04 10:02:29,00:00:31,0.0,11.13,8.06,15.81,14.18,12.76,11.31,10.97,10.01,9.97,15.74,14.06,13.26,12.2,10.85,10.7,10.39,9.51,13.9,12.65,11.43,10.93,9.54,9.29,9.29,14.71,12.99,12.16,10.83,10.77,10.52,9.78,8.49,12.54,11.4,9.6,7.0,7.23,11.76,7.02,-0.04,0.23,0.47,0.44,0.26,0.45,0.54,-0.07,-0.05,-0.07,1.6,0.48,0.7,-1.59,-0.14,0.08,20.95,20.96,20.95,20.95,20.95,20.95,20.95,20.94
-89,2018-12-04 10:02:30,00:00:32,0.0,12.04,9.09,15.69,14.18,12.72,11.35,10.9,10.09,9.97,15.85,14.03,13.11,12.12,10.82,10.7,10.43,9.47,14.74,13.56,12.46,11.85,10.53,10.17,10.02,15.39,13.75,13.03,11.59,11.87,11.71,11.12,9.79,12.83,11.63,9.82,7.11,7.19,11.72,7.66,-0.11,0.25,0.49,0.35,0.44,0.42,0.48,0.02,-0.02,-0.04,-0.01,-1.0,1.5,2.23,0.82,1.73,20.96,20.96,20.95,20.92,20.94,20.95,20.95,20.95
-88,2018-12-04 10:02:31,00:00:33,0.0,11.81,9.25,15.87,14.17,12.75,11.41,11.0,9.96,9.92,15.84,13.79,12.94,12.0,10.61,10.53,10.31,9.5,16.02,14.73,13.82,13.17,11.86,10.96,10.74,15.91,14.35,13.29,12.19,12.09,12.0,11.1,10.12,12.87,11.66,9.78,7.06,7.11,12.29,8.58,-0.28,0.23,0.48,0.24,0.35,0.39,0.44,0.07,0.01,0.07,-1.63,-1.0,0.7,-1.59,0.82,0.08,20.95,20.96,20.95,20.93,20.94,20.95,20.94,20.94
-87,2018-12-04 10:02:32,00:00:34,0.0,10.11,8.0,15.94,14.36,12.78,11.45,11.07,10.07,9.99,15.65,13.63,12.71,11.84,10.53,10.49,10.38,9.53,16.63,15.19,14.09,13.36,11.93,10.92,10.69,15.99,14.31,13.32,12.04,12.09,11.84,11.1,9.89,12.91,11.66,9.13,6.68,7.07,12.63,8.77,-0.26,0.38,-0.15,0.33,0.31,0.48,0.49,-0.03,-0.09,-0.05,-1.63,-1.0,-0.1,-1.59,0.82,1.73,20.94,20.96,20.95,20.97,20.94,20.95,20.94,20.95
-86,2018-12-04 10:02:33,00:00:35,0.0,9.48,7.37,16.14,14.51,12.71,11.45,11.15,10.11,10.0,15.62,13.75,12.68,11.96,10.65,10.57,10.34,9.57,16.71,15.23,14.28,13.37,12.01,11.04,10.66,15.91,14.32,13.25,12.16,12.05,11.92,10.8,9.85,12.82,11.5,8.63,6.64,6.91,12.59,8.91,-0.23,0.29,-0.21,0.45,0.36,0.35,0.43,0.06,0.04,0.06,1.6,1.95,0.7,0.32,0.82,1.73,20.95,20.95,20.95,20.97,20.95,20.93,20.96,20.95
-85,2018-12-04 10:02:34,00:00:36,0.0,9.87,7.76,15.99,14.4,12.87,11.46,11.08,10.08,9.93,15.66,13.6,12.76,11.93,10.47,10.61,10.35,9.54,16.52,15.23,14.17,13.45,11.94,11.12,10.66,16.11,14.28,13.49,12.24,11.94,11.85,10.42,9.67,12.74,8.82,7.28,6.55,6.98,12.54,9.02,-0.29,0.49,0.52,0.44,0.37,0.38,0.5,0.01,-0.0,-0.07,-0.01,-1.0,-0.1,0.32,0.82,0.08,20.96,20.96,20.95,20.91,20.95,20.94,20.95,20.94
-84,2018-12-04 10:02:35,00:00:37,0.0,10.01,7.21,16.1,14.44,12.79,11.49,11.04,10.04,9.92,15.65,13.67,12.9,12.04,10.58,10.61,10.27,9.57,16.44,15.04,13.9,13.37,11.74,11.12,10.74,16.1,14.24,13.29,12.0,11.82,11.7,10.45,9.39,12.59,8.55,5.6,6.86,7.06,12.43,8.98,-0.28,0.43,0.14,0.46,0.36,0.38,0.37,0.02,-0.01,0.04,-0.01,3.43,0.7,2.23,0.82,1.73,20.95,20.96,20.94,21.0,20.95,20.93,20.94,20.96
-83,2018-12-04 10:02:36,00:00:38,0.0,9.59,-0.1,16.03,14.29,12.79,11.46,11.0,10.04,10.04,15.73,13.79,12.91,12.04,10.58,10.46,10.24,9.39,15.99,14.66,13.56,13.1,11.6,10.89,10.47,15.92,14.09,13.22,11.86,11.68,11.47,10.19,9.06,12.56,11.96,9.77,7.21,7.29,12.28,8.99,-0.37,0.56,0.45,0.48,0.46,0.41,0.44,-0.01,-0.01,-0.06,-0.01,-2.48,0.7,-1.59,0.82,-1.56,20.94,20.96,20.95,20.95,20.93,20.97,20.95,20.96
